City ID,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.feels_like,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,snow.3h,sys.country,sys.id,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,wind.speed
422,stations,3,200,40.42,0.43,1580090392,3128273,32.07,,76,1023,,37.53,39.0,36.0,Benicarlo,,,,,ES,2008786.0,1580109155,1580144938,3.0,3600,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",177.0,5.99,3.0
423,model,96,200,5.95,80.54,1580090392,1235846,81.99,1010.0,74,1014,1014.0,77.61,77.61,77.61,Matara,,,,,LK,,1580086489,1580129145,,19800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",71.0,,4.61
424,model,9,200,36.25,37.5,1580090392,170062,35.67,977.0,90,1025,1025.0,42.57,42.57,42.57,Aleppo Governorate,,,,,SY,,1580099712,1580136584,,7200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",259.0,,8.23
425,model,100,200,56.17,107.45,1580090392,2020584,8.58,964.0,89,1029,1029.0,15.85,15.85,15.85,Magistralnyy,,,,,RU,,1580086590,1580116125,,28800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",199.0,,3.04
426,stations,90,200,-21.34,55.48,1580090347,935214,68.0,,73,1012,,69.66,75.2,59.0,Saint-Pierre,,,,,RE,2127.0,1580090188,1580137477,1.0,14400,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",40.0,,9.17
427,stations,40,200,51.54,-2.42,1580090393,2633406,35.8,,93,1003,,44.02,46.4,42.01,Yate,,,,,GB,1398.0,1580111773,1580143688,1.0,0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",210.0,,11.41
428,model,34,200,10.35,107.08,1580090393,1562414,83.71,1011.0,65,1013,1013.0,83.12,83.12,83.12,Vung Tau,,,,,VN,,1580080481,1580122411,,25200,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",120.0,,12.59
429,stations,99,200,53.2,45.0,1580090393,511565,13.19,,88,985,,30.0,30.0,30.0,Penza,,,,0.38,RU,219846.0,1580100784,1580131912,3.0,10800,,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",264.0,,22.3
430,model,87,200,29.03,69.15,1580090393,1180295,50.36,942.0,55,1013,1013.0,55.27,55.27,55.27,Dera Bugti,,0.44,,,PK,,1580091297,1580129806,,18000,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",34.0,,4.56
431,model,93,200,-2.65,10.0,1580090093,2400547,87.87,1006.0,84,1011,1011.0,78.87,78.87,78.87,Gamba,,,,,GA,,1580102725,1580146774,,3600,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",250.0,,0.98
432,stations,100,200,62.68,8.55,1580090393,3135377,27.21,,52,993,,41.95,44.6,39.2,Sunndalsora,,,,,NO,1636.0,1580112661,1580137534,1.0,3600,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",140.0,,18.34
433,model,63,200,-6.6,147.87,1580090134,2097418,90.93,1006.0,69,1007,1007.0,85.75,85.75,85.75,Finschhafen,,,,,PG,,1580069305,1580114006,,36000,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",339.0,,8.55
434,model,20,200,5.43,-2.14,1580090157,2295840,77.61,1000.0,87,1012,1012.0,71.56,71.56,71.56,Prestea,,,,,GH,,1580106292,1580149035,,0,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",185.0,,0.65
435,stations,40,200,18.13,-94.13,1580090394,3533269,78.94,,83,1012,,77.0,77.0,77.0,Agua Dulce,,,,,MX,7148.0,1580043042,1580083619,1.0,-21600,11265.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",360.0,,11.41
436,model,100,200,-10.38,28.7,1580090394,902721,71.06,902.0,99,1014,1014.0,65.82,65.82,65.82,Mwense,,2.38,,,ZM,,1580097597,1580142924,,7200,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",28.0,,0.51
